name,Description,tema warna,gender
Beny,Business Model Canvas - Assistant,#F97300,male
Fina,Finance Assistant,#FFD400,female
Cisa,CS Assistant,#FF003E,female
Sora,Social Media Content Assistant,#580cfc,female
Wita,CopyWriting Assistant,#8a6ef0,female
Viko,Video Script Writer Assistant,#eb4ec3,male
Milo,Email & Newsletter Assistant,#00FFA4,male
Mita,Meta Ads Assistant,#0164e0,female
Selo,SEO Assistant,#20a944,male
Hima,HR, Learning & Development Assistant,#163b92,female
Dany,Data Analyst Assistant,#FF4B00,male
Prima,AI Prompt Assistant,#BB6653,male
